submission_id,benchmark,split,display_name,reported_score_percent,agent,agent_org,model_ids,model_display,model_org,attempts,attempts_raw,checked,checked_raw,open_source_system,open_source_system_raw,open_source_model,open_source_model_raw,resolved_count,no_generation_count,no_logs_count,assets_json,metadata_path,results_path,reconstructed_resolved_count,n_tasks,reconstructed_score_percent,resolved_count_matches,score_difference_percent,reported_score_available,reported_score_matches
20240615_appmap-navie_gpt4o,swe-bench,verified,AppMap Navie + GPT 4o (2024-05-13),,AppMap Navie,,"[""gpt-4o-2024-05-13""]",GPT-4o,OpenAI,,2+,True,true,True,true,False,false,131,5,0,"{""logs"": ""s3://swe-bench-submissions/verified/20240615_appmap-navie_gpt4o/logs"", ""trajs"": null}",external/swebench-experiments/evaluation/verified/20240615_appmap-navie_gpt4o/metadata.yaml,external/swebench-experiments/evaluation/verified/20240615_appmap-navie_gpt4o/results/results.json,131,500,26.2,True,,False,False
20240617_factory_code_droid,swe-bench,verified,Factory Code Droid,,Factory Code Droid,,[],Undisclosed,,,2+,False,false,False,false,False,false,185,0,0,"{""logs"": ""s3://swe-bench-submissions/verified/20240617_factory_code_droid/logs"", ""trajs"": null}",external/swebench-experiments/evaluation/verified/20240617_factory_code_droid/metadata.yaml,external/swebench-experiments/evaluation/verified/20240617_factory_code_droid/results/results.json,185,500,37.0,True,,False,False
20240620_sweagent_claude3.5sonnet,swe-bench,verified,SWE-agent + Claude 3.5 Sonnet,,SWE-agent,SWE-agent,"[""claude-3-5-sonnet-20241022""]",Claude 3.5 Sonnet,Anthropic,1.0,1,True,true,True,true,False,false,168,11,3,"{""logs"": ""s3://swe-bench-submissions/verified/20240620_sweagent_claude3.5sonnet/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240620_sweagent_claude3.5sonnet/trajs""}",external/swebench-experiments/evaluation/verified/20240620_sweagent_claude3.5sonnet/metadata.yaml,external/swebench-experiments/evaluation/verified/20240620_sweagent_claude3.5sonnet/results/results.json,168,500,33.6,True,,False,False
20240628_autocoderover-v20240620,swe-bench,verified,AutoCodeRover (v20240620) + GPT 4o (2024-05-13),,AutoCodeRover,,"[""gpt-4o-2024-05-13""]",GPT-4o,OpenAI,,2+,False,false,False,false,False,false,192,0,0,"{""logs"": ""s3://swe-bench-submissions/verified/20240628_autocoderover-v20240620/logs"", ""trajs"": null}",external/swebench-experiments/evaluation/verified/20240628_autocoderover-v20240620/metadata.yaml,external/swebench-experiments/evaluation/verified/20240628_autocoderover-v20240620/results/results.json,192,500,38.4,True,,False,False
20240721_amazon-q-developer-agent-20240719-dev,swe-bench,verified,Amazon Q Developer Agent (v20240719-dev),,Amazon Q Developer Agent,AWS,[],Undisclosed,,,2+,False,false,False,false,False,false,194,1,0,"{""logs"": ""s3://swe-bench-submissions/verified/20240721_amazon-q-developer-agent-20240719-dev/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240721_amazon-q-developer-agent-20240719-dev/trajs""}",external/swebench-experiments/evaluation/verified/20240721_amazon-q-developer-agent-20240719-dev/metadata.yaml,external/swebench-experiments/evaluation/verified/20240721_amazon-q-developer-agent-20240719-dev/results/results.json,194,500,38.8,True,,False,False
20240728_sweagent_gpt4o,swe-bench,verified,SWE-agent + GPT 4o (2024-05-13),,SWE-agent,SWE-agent,"[""gpt-4o-2024-05-13""]",GPT-4o,OpenAI,1.0,1,True,true,True,true,False,false,116,50,3,"{""logs"": ""s3://swe-bench-submissions/verified/20240728_sweagent_gpt4o/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240728_sweagent_gpt4o/trajs""}",external/swebench-experiments/evaluation/verified/20240728_sweagent_gpt4o/metadata.yaml,external/swebench-experiments/evaluation/verified/20240728_sweagent_gpt4o/results/results.json,116,500,23.2,True,,False,False
20240820_epam-ai-run-gpt-4o,swe-bench,verified,EPAM AI/Run Developer Agent + GPT4o,,EPAM AI/Run Developer Agent,,"[""gpt-4o-2024-08-06""]",GPT-4o,OpenAI,,2+,False,false,False,false,False,false,120,18,2,"{""logs"": ""s3://swe-bench-submissions/verified/20240820_epam-ai-run-gpt-4o/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240820_epam-ai-run-gpt-4o/trajs""}",external/swebench-experiments/evaluation/verified/20240820_epam-ai-run-gpt-4o/metadata.yaml,external/swebench-experiments/evaluation/verified/20240820_epam-ai-run-gpt-4o/results/results.json,120,500,24.0,True,,False,False
20240820_honeycomb,swe-bench,verified,Honeycomb,,Honeycomb,,[],Undisclosed,,,2+,False,false,False,false,False,false,203,14,47,"{""logs"": ""s3://swe-bench-submissions/verified/20240820_honeycomb/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240820_honeycomb/trajs""}",external/swebench-experiments/evaluation/verified/20240820_honeycomb/metadata.yaml,external/swebench-experiments/evaluation/verified/20240820_honeycomb/results/results.json,203,500,40.6,True,,False,False
20240824_gru,swe-bench,verified,Gru(2024-08-24),,Gru,,[],Undisclosed,,,2+,False,false,False,false,False,false,226,0,2,"{""logs"": ""s3://swe-bench-submissions/verified/20240824_gru/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240824_gru/trajs""}",external/swebench-experiments/evaluation/verified/20240824_gru/metadata.yaml,external/swebench-experiments/evaluation/verified/20240824_gru/results/results.json,226,500,45.2,True,,False,False
20240918_lingma-agent_lingma-swe-gpt-72b,swe-bench,verified,Lingma Agent + Lingma SWE-GPT 72b (v0918),,Lingma Agent,Alibaba,[],Lingma SWE-GPT 72b (v0918),OpenAI,,2+,False,false,True,true,False,false,125,15,2,"{""logs"": ""s3://swe-bench-submissions/verified/20240918_lingma-agent_lingma-swe-gpt-72b/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240918_lingma-agent_lingma-swe-gpt-72b/trajs""}",external/swebench-experiments/evaluation/verified/20240918_lingma-agent_lingma-swe-gpt-72b/metadata.yaml,external/swebench-experiments/evaluation/verified/20240918_lingma-agent_lingma-swe-gpt-72b/results/results.json,125,500,25.0,True,,False,False
20240918_lingma-agent_lingma-swe-gpt-7b,swe-bench,verified,Lingma Agent + Lingma SWE-GPT 7b (v0918),,Lingma Agent,Alibaba,[],Lingma SWE-GPT 7b (v0918),OpenAI,,2+,False,false,True,true,False,false,51,39,2,"{""logs"": ""s3://swe-bench-submissions/verified/20240918_lingma-agent_lingma-swe-gpt-7b/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240918_lingma-agent_lingma-swe-gpt-7b/trajs""}",external/swebench-experiments/evaluation/verified/20240918_lingma-agent_lingma-swe-gpt-7b/metadata.yaml,external/swebench-experiments/evaluation/verified/20240918_lingma-agent_lingma-swe-gpt-7b/results/results.json,51,500,10.2,True,,False,False
20240920_solver,swe-bench,verified,Solver (2024-09-12),,Solver,,[],Undisclosed,,,2+,False,false,False,false,False,false,218,4,0,"{""logs"": ""s3://swe-bench-submissions/verified/20240920_solver/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240920_solver/trajs""}",external/swebench-experiments/evaluation/verified/20240920_solver/metadata.yaml,external/swebench-experiments/evaluation/verified/20240920_solver/results/results.json,218,500,43.6,True,,False,False
20240924_solver,swe-bench,verified,Solver (2024-09-12),,Solver,,[],Undisclosed,,,2+,False,false,False,false,False,false,227,2,0,"{""logs"": ""s3://swe-bench-submissions/verified/20240924_solver/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20240924_solver/trajs""}",external/swebench-experiments/evaluation/verified/20240924_solver/metadata.yaml,external/swebench-experiments/evaluation/verified/20240924_solver/results/results.json,227,500,45.4,True,,False,False
20241001_nfactorial,swe-bench,verified,nFactorial (2024-10-01),,nFactorial,,[],Undisclosed,,,2+,False,false,False,false,False,false,129,20,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241001_nfactorial/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241001_nfactorial/trajs""}",external/swebench-experiments/evaluation/verified/20241001_nfactorial/metadata.yaml,external/swebench-experiments/evaluation/verified/20241001_nfactorial/results/results.json,129,500,25.8,True,,False,False
20241002_lingma-agent_lingma-swe-gpt-72b,swe-bench,verified,Lingma Agent + Lingma SWE-GPT 72b (v0925),,Lingma Agent,Alibaba,[],Lingma SWE-GPT 72b (v0925),OpenAI,,2+,False,false,True,true,False,false,144,8,1,"{""logs"": ""s3://swe-bench-submissions/verified/20241002_lingma-agent_lingma-swe-gpt-72b/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241002_lingma-agent_lingma-swe-gpt-72b/trajs""}",external/swebench-experiments/evaluation/verified/20241002_lingma-agent_lingma-swe-gpt-72b/metadata.yaml,external/swebench-experiments/evaluation/verified/20241002_lingma-agent_lingma-swe-gpt-72b/results/results.json,144,500,28.8,True,,False,False
20241002_lingma-agent_lingma-swe-gpt-7b,swe-bench,verified,Lingma Agent + Lingma SWE-GPT 7b (v0925),,Lingma Agent,Alibaba,[],Lingma SWE-GPT 7b (v0925),OpenAI,,2+,False,false,True,true,False,false,91,86,2,"{""logs"": ""s3://swe-bench-submissions/verified/20241002_lingma-agent_lingma-swe-gpt-7b/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241002_lingma-agent_lingma-swe-gpt-7b/trajs""}",external/swebench-experiments/evaluation/verified/20241002_lingma-agent_lingma-swe-gpt-7b/metadata.yaml,external/swebench-experiments/evaluation/verified/20241002_lingma-agent_lingma-swe-gpt-7b/results/results.json,91,500,18.2,True,,False,False
20241007_nfactorial,swe-bench,verified,nFactorial (2024-10-07),,nFactorial,,[],Undisclosed,,,2+,False,false,False,false,False,false,158,22,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241007_nfactorial/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241007_nfactorial/trajs""}",external/swebench-experiments/evaluation/verified/20241007_nfactorial/metadata.yaml,external/swebench-experiments/evaluation/verified/20241007_nfactorial/results/results.json,158,500,31.6,True,,False,False
20241016_composio_swekit,swe-bench,verified,Composio SWEkit + Claude 3.5 Sonnet (2024-10-16),,Composio SWEkit,,"[""claude-3-5-sonnet-20241022"", ""claude-3.5-sonnet-20241022""]",Claude 3.5 Sonnet,Anthropic,,2+,False,false,True,true,False,false,203,0,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241016_composio_swekit/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241016_composio_swekit/trajs""}",external/swebench-experiments/evaluation/verified/20241016_composio_swekit/metadata.yaml,external/swebench-experiments/evaluation/verified/20241016_composio_swekit/results/results.json,203,500,40.6,True,,False,False
20241016_epam-ai-run-gpt-4o,swe-bench,verified,EPAM AI/Run Developer Agent + GPT4o,,EPAM AI/Run Developer Agent,,"[""gpt-4o-2024-08-06""]",GPT-4o,OpenAI,,2+,False,false,False,false,False,false,135,12,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241016_epam-ai-run-gpt-4o/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241016_epam-ai-run-gpt-4o/trajs""}",external/swebench-experiments/evaluation/verified/20241016_epam-ai-run-gpt-4o/metadata.yaml,external/swebench-experiments/evaluation/verified/20241016_epam-ai-run-gpt-4o/results/results.json,135,500,27.0,True,,False,False
20241022_tools_claude-3-5-haiku,swe-bench,verified,Tools + Claude 3.5 Haiku,,Tools,Anthropic,"[""claude-3-haiku-20240307""]",Claude 3.5 Haiku,Anthropic,,2+,False,false,False,false,False,false,203,16,3,"{""logs"": ""s3://swe-bench-submissions/verified/20241022_tools_claude-3-5-haiku/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241022_tools_claude-3-5-haiku/trajs""}",external/swebench-experiments/evaluation/verified/20241022_tools_claude-3-5-haiku/metadata.yaml,external/swebench-experiments/evaluation/verified/20241022_tools_claude-3-5-haiku/results/results.json,203,500,40.6,True,,False,False
20241022_tools_claude-3-5-sonnet-updated,swe-bench,verified,Tools + Claude 3.5 Sonnet (2024-10-22),,Tools,Anthropic,"[""claude-3-5-sonnet-20241022"", ""claude-3.5-sonnet-20241022""]",Claude 3.5 Sonnet,Anthropic,,2+,False,false,False,false,False,false,245,14,3,"{""logs"": ""s3://swe-bench-submissions/verified/20241022_tools_claude-3-5-sonnet-updated/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241022_tools_claude-3-5-sonnet-updated/trajs""}",external/swebench-experiments/evaluation/verified/20241022_tools_claude-3-5-sonnet-updated/metadata.yaml,external/swebench-experiments/evaluation/verified/20241022_tools_claude-3-5-sonnet-updated/results/results.json,245,500,49.0,True,,False,False
20241023_emergent,swe-bench,verified,Emergent E1 (v2024-10-12),,Emergent E1,,"[""claude-3-5-sonnet-20241022"", ""gpt-4o-2024-08-06""]",Multiple,Anthropic,,2+,False,false,False,false,False,false,233,2,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241023_emergent/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241023_emergent/trajs""}",external/swebench-experiments/evaluation/verified/20241023_emergent/metadata.yaml,external/swebench-experiments/evaluation/verified/20241023_emergent/results/results.json,233,500,46.6,True,,False,False
20241025_composio_swekit,swe-bench,verified,Composio SWE-Kit (2024-10-25),,Composio SWE-Kit,,"[""claude-3-5-sonnet-20241022"", ""o1-mini""]",Multiple,Anthropic,,2+,True,true,True,true,False,false,243,1,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241025_composio_swekit/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241025_composio_swekit/trajs""}",external/swebench-experiments/evaluation/verified/20241025_composio_swekit/metadata.yaml,external/swebench-experiments/evaluation/verified/20241025_composio_swekit/results/results.json,243,500,48.6,True,,False,False
20241028_agentless-1.5_gpt4o,swe-bench,verified,Agentless-1.5 + GPT 4o (2024-05-13),,Agentless-1.5,Agentless,"[""gpt-4o-2024-05-13""]",GPT-4o,OpenAI,1.0,1,False,false,True,true,False,false,194,4,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241028_agentless-1.5_gpt4o/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241028_agentless-1.5_gpt4o/trajs""}",external/swebench-experiments/evaluation/verified/20241028_agentless-1.5_gpt4o/metadata.yaml,external/swebench-experiments/evaluation/verified/20241028_agentless-1.5_gpt4o/results/results.json,194,500,38.8,True,,False,False
20241028_solver,swe-bench,verified,Solver (2024-10-28),,Solver,,[],Undisclosed,,,2+,False,false,False,false,False,false,250,1,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241028_solver/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241028_solver/trajs""}",external/swebench-experiments/evaluation/verified/20241028_solver/metadata.yaml,external/swebench-experiments/evaluation/verified/20241028_solver/results/results.json,250,500,50.0,True,,False,False
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,swe-bench,verified,OpenHands + CodeAct v2.1 (claude-3-5-sonnet-20241022),,OpenHands,OpenHands,[],CodeAct v2.1 (claude-3-5-sonnet-20241022),Anthropic,,2+,True,true,True,true,False,false,265,6,1,"{""logs"": ""s3://swe-bench-submissions/verified/20241029_OpenHands-CodeAct-2.1-sonnet-20241022/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241029_OpenHands-CodeAct-2.1-sonnet-20241022/trajs""}",external/swebench-experiments/evaluation/verified/20241029_OpenHands-CodeAct-2.1-sonnet-20241022/metadata.yaml,external/swebench-experiments/evaluation/verified/20241029_OpenHands-CodeAct-2.1-sonnet-20241022/results/results.json,265,500,53.0,True,,False,False
20241029_epam-ai-run-claude-3-5-sonnet,swe-bench,verified,EPAM AI/Run Developer Agent v20241029 + Anthopic Claude 3.5 Sonnet,,EPAM AI/Run Developer Agent,,"[""claude-3-5-sonnet-20241022""]",Claude 3.5 Sonnet,Anthropic,,2+,False,false,False,false,False,false,198,25,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241029_epam-ai-run-claude-3-5-sonnet/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241029_epam-ai-run-claude-3-5-sonnet/trajs""}",external/swebench-experiments/evaluation/verified/20241029_epam-ai-run-claude-3-5-sonnet/metadata.yaml,external/swebench-experiments/evaluation/verified/20241029_epam-ai-run-claude-3-5-sonnet/results/results.json,198,500,39.6,True,,False,False
20241030_nfactorial,swe-bench,verified,nFactorial (2024-10-30),,nFactorial,,"[""claude-3-5-sonnet-20241022"", ""gpt-4o-2024-08-06"", ""o1-preview""]",Multiple,Anthropic,,2+,False,false,False,false,False,false,208,3,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241030_nfactorial/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241030_nfactorial/trajs""}",external/swebench-experiments/evaluation/verified/20241030_nfactorial/metadata.yaml,external/swebench-experiments/evaluation/verified/20241030_nfactorial/results/results.json,208,500,41.6,True,,False,False
20241105_nfactorial,swe-bench,verified,nFactorial (2024-11-05),,nFactorial,,"[""claude-3-5-sonnet-20241022"", ""gpt-4o-2024-08-06""]",Multiple,Anthropic,,2+,False,false,False,false,False,false,246,10,1,"{""logs"": ""s3://swe-bench-submissions/verified/20241105_nfactorial/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241105_nfactorial/trajs""}",external/swebench-experiments/evaluation/verified/20241105_nfactorial/metadata.yaml,external/swebench-experiments/evaluation/verified/20241105_nfactorial/results/results.json,246,500,49.2,True,,False,False
20241106_navie-2-gpt4o-sonnet,swe-bench,verified,AppMap Navie v2,,AppMap Navie v2,,"[""claude-3-5-sonnet-20241022"", ""gpt-4o-2024-08-06""]",Multiple,Anthropic,,2+,True,true,True,true,False,false,236,7,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241106_navie-2-gpt4o-sonnet/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241106_navie-2-gpt4o-sonnet/trajs""}",external/swebench-experiments/evaluation/verified/20241106_navie-2-gpt4o-sonnet/metadata.yaml,external/swebench-experiments/evaluation/verified/20241106_navie-2-gpt4o-sonnet/results/results.json,236,500,47.2,True,,False,False
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,swe-bench,verified,AutoCodeRover-v2.0 (Claude-3.5-Sonnet-20241022),,AutoCodeRover-v2.0,,"[""claude-3-5-sonnet-20241022""]",Claude 3.5-Sonnet-20241022,Anthropic,,2+,False,false,True,true,False,false,231,4,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022/trajs""}",external/swebench-experiments/evaluation/verified/20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022/metadata.yaml,external/swebench-experiments/evaluation/verified/20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022/results/results.json,231,500,46.2,True,,False,False
20241108_devlo,swe-bench,verified,devlo,,devlo,,"[""claude-3-5-sonnet-20241022""]",Claude 3.5 Sonnet,Anthropic,,2+,False,false,False,false,False,false,271,0,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241108_devlo/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241108_devlo/trajs""}",external/swebench-experiments/evaluation/verified/20241108_devlo/metadata.yaml,external/swebench-experiments/evaluation/verified/20241108_devlo/results/results.json,271,500,54.2,True,,False,False
20241113_nebius-search-open-weight-models-11-24,swe-bench,verified,Nebius AI Qwen 2.5 72B Generator + LLama 3.1 70B Critic,,Nebius AI,,"[""Llama 3.1"", ""Qwen 2.5""]",Multiple,Meta,,2+,False,false,False,false,False,false,203,1,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241113_nebius-search-open-weight-models-11-24/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241113_nebius-search-open-weight-models-11-24/trajs""}",external/swebench-experiments/evaluation/verified/20241113_nebius-search-open-weight-models-11-24/metadata.yaml,external/swebench-experiments/evaluation/verified/20241113_nebius-search-open-weight-models-11-24/results/results.json,203,500,40.6,True,,False,False
20241120_artemis_agent,swe-bench,verified,Artemis Agent v1 (2024-11-20),,Artemis Agent v1,,[],Undisclosed,,,2+,False,false,False,false,False,false,160,4,7,"{""logs"": ""s3://swe-bench-submissions/verified/20241120_artemis_agent/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241120_artemis_agent/trajs""}",external/swebench-experiments/evaluation/verified/20241120_artemis_agent/metadata.yaml,external/swebench-experiments/evaluation/verified/20241120_artemis_agent/results/results.json,160,500,32.0,True,,False,False
20241125_enginelabs,swe-bench,verified,Engine Labs (2024-11-25),,Engine Labs,Engine Labs,"[""claude-3-5-sonnet-20241022""]",Claude 3.5 Sonnet,Anthropic,1.0,1,False,false,False,false,False,false,259,8,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241125_enginelabs/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241125_enginelabs/trajs""}",external/swebench-experiments/evaluation/verified/20241125_enginelabs/metadata.yaml,external/swebench-experiments/evaluation/verified/20241125_enginelabs/results/results.json,259,500,51.8,True,,False,False
20241125_marscode-agent-dev,swe-bench,verified,Bytedance MarsCode Agent,,Bytedance MarsCode Agent,Bytedance,[],Undisclosed,,,2+,False,false,False,false,False,false,250,2,0,"{""logs"": ""s3://swe-bench-submissions/verified/20241125_marscode-agent-dev/logs"", ""trajs"": ""s3://swe-bench-submissions/verified/20241125_marscode-agent-dev/trajs""}",external/swebench-experiments/evaluation/verified/20241125_marscode-agent-dev/metadata.yaml,external/swebench-experiments/evaluation/verified/20241125_marscode-agent-dev/results/results.json,250,500,50.0,True,,False,False
